allStbfnRcvr,othdsStbfnRcvr,dsBrfr,allBrfr,dsBrfrr,year,allBrfcRcvr,dsStbfnRcvr,othdsBrfr,dvsd,othdsBrfcRcvr
6.8,1.6,77,82,6.8,2017,5.6,10,5,인천,1.6
3.6,1.7,48,58,3.1,2017,2.7,5.4,9,경북,1.6
10.2,null,41,46,8.4,2019,7.4,12.5,null,제주,null
3.7,1,56,61,3.9,2016,3.1,5.9,4,경남,0.8
3.6,2.1,34,42,3.3,2016,2.9,4.8,8,충남,1.9
6.1,1,29,31,8.2,2016,6.2,8.4,2,울산,1.5
4.8,0.4,21,22,4.2,2017,3.5,8.1,1,제주,0.8
4.7,0.4,84,87,5.8,2017,4.4,7.2,2,경남,0.4
7.1,null,70,72,6.9,2019,5.6,11.3,null,대구,null
3,0.3,56,57,3.6,2016,2.7,5.2,1,경북,0.2
6.8,1.1,377,397,7.2,2019,5.8,10.2,17,경기,1.1
7.3,null,41,42,8.5,2019,6.5,11.9,null,광주,null
4.7,1.1,26,28,5.4,2017,4.3,7,2,대전,1.2
8.6,null,10,10,13.3,2019,9.6,11.2,null,세종,null
4.3,0.5,27,28,5.2,2016,4,6.6,1,대전,0.6
2.6,0.3,29,30,2.7,2016,2,5.1,1,전남,0.2
4,0.2,44,45,4.5,2016,3.3,6.4,1,전북,0.3
6,1.1,93,101,6.3,2016,5.3,9.2,5,부산,1.2
9.2,0.9,340,349,9,2018,7.5,12.9,8,서울,0.9
5.3,0.7,264,276,5.8,2016,4.6,8.3,12,경기,0.9
5,1.1,58,63,5.3,2017,4,7.3,5,충남,1.1
6.1,0,36,36,8.7,2018,6.3,9.2,0,울산,0
4.2,1.4,46,52,4.1,2017,3.3,6.3,6,전남,1.4
6.2,null,62,68,6.1,2019,4.9,11.1,null,강원,null
6.2,1.8,67,71,6.6,2016,5.4,8.8,4,대구,1.4
4.2,0.4,44,46,4.9,2018,3.6,6.6,2,전북,0.5
5.1,0.7,23,25,4.5,2018,3.8,7,1,제주,0.7
7.1,0.5,42,43,7.8,2018,6,11.9,1,대전,0.6
5.4,0.6,96,100,6,2018,4.5,9.4,4,경남,0.7
6.6,1.7,65,68,6.3,2017,5.3,9,3,대구,1.2
5.1,0.4,68,69,6,2016,4.5,7.7,1,인천,0.3
9.3,null,55,57,9.8,2019,7.7,14.5,null,대전,null
5.8,null,59,62,5.9,2019,4.6,9.2,null,충북,null
8.7,1.4,288,314,8.2,2019,7.1,11.6,12,서울,1.5
6.1,0.9,98,103,6.8,2017,5.6,8.8,5,부산,1.2
4.7,1.4,53,59,4.8,2018,3.8,8,6,전남,1.4
5.6,1.5,61,65,5.7,2018,4.9,8.5,4,대구,1.5
6.4,null,116,118,7.3,2019,5.9,9.1,null,부산,null
5.4,null,30,30,6.4,2019,4.8,8.4,null,울산,null
4.7,null,72,77,4.4,2019,3.6,6.8,null,경북,null
6.7,1.4,316,339,7.1,2017,5.8,9.6,23,경기,1.7
5.2,null,56,59,5.7,2019,4.3,9.4,null,전북,null
4.4,1.3,39,44,4.5,2017,3.6,6.7,5,충북,1.5
4.9,null,53,62,4.3,2019,3.6,9,null,충남,null
7.6,4.4,9,11,11.4,2016,9.3,11.2,2,세종,5.3
5.8,0.8,86,90,5.9,2018,4.7,9.7,4,부산,1
3.6,0.4,37,39,4.2,2016,3.1,6.2,2,충북,0.5
4,1,41,45,4.1,2017,3.2,6.9,4,강원,1.1
5.5,0.8,61,64,6.5,2017,4.8,8.7,3,전북,0.8
3.6,1.5,31,35,3,2016,2.5,5.5,4,강원,1.1
6.8,1.4,32,34,7.6,2018,6,13.5,2,광주,1.4
5.5,1,53,58,5.2,2018,4.1,8.3,5,강원,1.4
7.3,null,90,93,7.5,2019,6,10.9,null,인천,null
8.8,3.7,37,43,9.8,2017,8.6,11.7,6,울산,5
4.8,null,71,77,5,2019,4,7.4,null,경남,null
6.6,1.3,38,40,8.5,2017,6.4,9.9,2,광주,1.2
6.1,1,77,82,6.6,2018,5.3,9.3,5,인천,1.3
3.5,0.4,57,60,3.7,2018,2.7,6.4,3,경북,0.5
8.3,1.7,304,320,8.4,2017,7.1,11.5,15,서울,1.8
5.2,0.7,29,30,6,2016,4.8,8.3,1,광주,0.7
7.5,2,9,11,10.5,2018,8,11.5,2,세종,4.1
4.3,null,44,51,3.7,2019,3.1,6.3,null,전남,null
5,2.5,43,52,4.8,2018,4.1,8.7,9,충북,2.6
6.1,2.3,6,7,7.9,2017,6.3,8.7,1,세종,3.4
7.1,1,262,271,7.3,2016,6,10.6,8,서울,0.9
4.9,2.5,54,67,4.6,2018,3.9,6.6,12,충남,2.3
6.4,1.2,332,348,6.6,2018,5.4,9.8,16,경기,1.1
4.7,3.2,18,23,3.9,2016,3.7,6.2,5,제주,3.1
